A0A024SNB7	CHOYP_contig_004745	4.3
A0A098D6U0	CHOYP_LOC594793.1.1	0.98
A0A0B5A7M7	CHOYP_MPI5.1.1	3.91e-14
A0A0B5AC98	CHOYP_MPI1.1.1	1.60e-63
A0A0F7YYX3	CHOYP_LOC658640.1.2	3.58e-21
A0A0F7YYX3	CHOYP_LOC658640.2.2	1.47e-21
A0A0G2K344	CHOYP_PK3CA.1.1	0.0
A0A0N6WHT4	CHOYP_NEMVEDRAFT_V1G243041.1.1	1.4
A0A0N9E2K8	CHOYP_MMP21.1.1	3.82e-117
A0A0R4I9Y1	CHOYP_BRAFLDRAFT_106560.7.14	0.54
A0A0R4I9Y1	CHOYP_NEMVEDRAFT_V1G239505.2.2	5.95e-08
A0A0R4I9Y1	CHOYP_RNF213.2.4	1.16e-158
A0A0R4IBK5	CHOYP_BRAFLDRAFT_106560.1.14	5.85e-125
A0A0R4IBK5	CHOYP_BRAFLDRAFT_106560.10.14	9.91e-123
A0A0R4IBK5	CHOYP_BRAFLDRAFT_106560.11.14	2.32e-50
A0A0R4IBK5	CHOYP_BRAFLDRAFT_106560.13.14	1.22e-122
A0A0R4IBK5	CHOYP_BRAFLDRAFT_106560.14.14	3.62e-123
A0A0R4IBK5	CHOYP_BRAFLDRAFT_106560.2.14	3.43e-05
A0A0R4IBK5	CHOYP_BRAFLDRAFT_108419.2.3	1.47e-48
A0A0R4IBK5	CHOYP_BRAFLDRAFT_68766.1.4	3.61e-05
A0A0R4IBK5	CHOYP_BRAFLDRAFT_68766.2.4	6.49e-45
A0A0R4IBK5	CHOYP_BRAFLDRAFT_68766.4.4	8.59e-50
A0A0R4IBK5	CHOYP_HMGN5.1.2	2.55e-05
A0A0R4IBK5	CHOYP_LOC100030710.1.4	7.89e-133
A0A0R4IBK5	CHOYP_LOC100030710.2.4	0.0
A0A0R4IBK5	CHOYP_LOC100030710.2.4	7.70e-80
A0A0R4IBK5	CHOYP_LOC100030710.4.4	0.0
A0A0R4IBK5	CHOYP_LOC100377154.2.4	0.29
A0A0R4IBK5	CHOYP_LOC100377154.2.4	1.21e-61
A0A0R4IBK5	CHOYP_LOC100377154.3.4	1.57e-80
A0A0R4IBK5	CHOYP_LOC100377154.3.4	3.00e-05
A0A0R4IBK5	CHOYP_LOC100535591.1.1	0.009
A0A0R4IBK5	CHOYP_LOC100537840.1.1	6.09e-11
A0A0R4IBK5	CHOYP_NEMVEDRAFT_V1G199550.1.1	1.24e-70
A0A0R4IBK5	CHOYP_NEMVEDRAFT_V1G244806.2.2	0.034
A0A0R4IBK5	CHOYP_NEMVEDRAFT_V1G244806.2.2	9.95e-128
A0A0R4IBK5	CHOYP_RL23A.1.6	0.027
A0A0R4IBK5	CHOYP_RN213.1.13	0.0
A0A0R4IBK5	CHOYP_RN213.11.13	1.11e-86
A0A0R4IBK5	CHOYP_RN213.11.13	1.84e-29
A0A0R4IBK5	CHOYP_RN213.12.13	0.0
A0A0R4IBK5	CHOYP_RN213.13.13	6.86e-147
A0A0R4IBK5	CHOYP_RN213.2.13	0.0
A0A0R4IBK5	CHOYP_RN213.3.13	1.93e-26
A0A0R4IBK5	CHOYP_RN213.4.13	0.0
A0A0R4IBK5	CHOYP_RN213.4.13	1.30e-78
A0A0R4IBK5	CHOYP_RN213.6.13	0.0
A0A0R4IBK5	CHOYP_RN213.6.13	2.46e-91
A0A0R4IBK5	CHOYP_RN213.7.13	0.0
A0A0R4IBK5	CHOYP_RN213.7.13	8.49e-84
A0A0R4IBK5	CHOYP_RN213.8.13	3.38e-147
A0A0R4IBK5	CHOYP_RN213.9.13	0.0
A0A0R4IBK5	CHOYP_RNF213.1.4	0.0
A0A0R4IBK5	CHOYP_RNF213.1.4	2.71e-72
A0A0R4IBK5	CHOYP_RNF213.3.4	0.0
A0A0R4IBK5	CHOYP_contig_000345	5.98e-04
A0A0R4IBK5	CHOYP_contig_023843	0.11
